,0
296,படை
297,கல்யாணமுருங்கை
298,ஆளி
299,இஞ்சம்
300,வல்லாரைக்கீரை
301,வெங்காயத்தாள்
302,கல்
303,புரசம்
304,செய்துகொள்ளவ்
305,முகம்
306,நொய்
307,தண்டு கீரை
308,வெல்லம்
309,கடுகு
310,தேங்காய்ப்பால்
311,பனங்
312,பாசிப்
313,ஆமணம்
314,கற்பூரம்
315,வயில்
316,மாவிலம்
317,இராம்
318,துண்டை
319,மாக்கிக்
320,பப்பாளிக்
321,செம்பருத்தி பருப்பு
322,ஆகவ
323,கராம்
324,பார்லி கீரை
325,இப்பிலி
326,மொட்டை
327,ஆடாதொடை இலை
328,பச்சரிசி
329,மாவை
330,முட்டைக்கோஸை
331,ஊழலாற்றி மரப்
332,சாப்பிட்டுவர
333,சரகம்
334,கொடிப்பசலை கீரை
335,வசம்பு
336,வெங்காயத்தாளை
337,தோல்
338,சீர்
339,கணு
340,பட்டை
341,ஏலக்கா
342,உகாமரம்
343,றினால்
344,சடை
345,ரை
346,வெள்ளரி பருப்பு
347,மாம்பருப்பு
348,பொன்னாவரைக்
349,வல்லார் இலை
350,மர வேர்பு
351,துத்தி இலை
352,பரு
353,ஆடையொட்டி வேர்பு
354,தென்னை மரப்
355,காயவை
356,விளாம்
357,மூன்றை
358,செடி
359,மகிழம் பூ
360,பாவட்டை
361,சீரகம்
362,று
363,எண்ணிக்கை
364,பாற்சொரிக்
365,நார்
366,ஆரை
367,நரம்பு
368,குருந்தொட்டி
369,சிறுசெருப்படை
370,பப்பாளிச்
371,புண்
372,குடை
373,கொட்டைப்பாக்கு
374,சக்தி
375,ஆடையொட்டி
376,கீரை கீரை
377,தனியாவை
378,குப்பைமேனி
379,அன்னாசிப் பழம்
380,தினம்
381,மாங்கொட்
382,ஓமம்து
383,வற்றலை
384,வெள்ளரி வேர்பு
385,அரிசி
386,மாம் பூ
387,எண்ணெ
388,இரண்டு
389,தைலமாக்கி
390,முந்திரி பருப்பு
391,மணத்தக்காளி கீரை
392,வேளை
393,அகத்தி
394,உன்
395,வாய்விளங்கம்
396,பற்
397,தாமரை
398,எலுமிச்சை இலை
399,ஜவ்வரிசி
400,புளி
401,பாதாம் பருப்பு
402,சாறு
403,ஆடாதொடா
404,முள்
405,சிவப்பு
406,பயறு
407,பொடி பொடி
408,அன்றாடம்
409,நெல்லிக்காய் பொடி
410,கீர்
411,புங்கம்
412,பங்கு
413,பூசணி விதை
414,சாம்பிராணி
415,பச்சை
416,எலுமிச்சம்
417,பொரி
418,விதைப்பருப்பு
419,சந்தனம்
420,மொச்சைக்கொட்டை
421,கட்டி
422,பொன்னாவரைக் கீரை
423,மிளகாயை
424,இசம்
425,முக்குளி
426,சர்பு
427,செம்பருத்தி
428,காது
429,தைலம்
430,தூள்
431,அவுரி
432,விரலி
433,பருத்தி
434,முட்டைக்கோஸாடன்
435,கொத்தம்ல்
436,கீரையைப்போல்
437,ஆட்டு
438,சிலாசத்து
439,கடுகை
440,கடல்
441,கடைந்தோ
442,கீரைத்தா
443,முடக்கம் கீரை
444,பசு
445,புகை
446,தூளை
447,வற்றலாக்கி
448,மருதாணி இலை
449,வால்
450,கஷாயமாக்கி
451,முருங்கை கீரை
452,நொச்சி இலை
453,பப்பாளிப்
454,முட்டை
455,முல்தானிமட்டி
456,லவங்கப்பட்டை
457,உப்பிலாங்
458,கருப்பட்டி
459,நாய்து
460,கொழுந்தை
461,லெட்டூஸ்
462,நெஞ்சு
463,எள்ளு
464,அல்லிக்
465,முள்ளி
466,கொய்யாப்
467,மலச்சி
468,நிறம்
469,ஆடுதீண்டாப்பாளை
470,நாடு
471,குழை
472,கொய்யா இலை
473,சிறுநீர்
474,குச்சி
475,பிஞ்சு
476,மரவிதை
477,தண்ணீர்
478,விளக்கெண்ணெய்
479,நெல்லிக்காய்
480,பால்
481,கீரையுடன்
482,தூதுவளை கீரை
483,வத்தலை
484,குப்பு
485,தூதுவளை
486,ஆடாதொடா இலை
487,அத்தி
488,விளங்கம்
489,நெல்
490,வாய்
491,சரக்கொன்றை
492,உருண்டையாக்கி
493,பசுவு
494,கட்டு
495,முள்ளங்கிக்கீர்
496,சுக்காங்
497,முளை பருப்பு
498,காலை
499,கொதிக்கவைத்த
500,சூடானம்
501,அறுவதா இலை
502,பழுப்பு
503,பழ
504,பொன்னாங்கண்ணிக் கீரை
505,கற்பூரவள்ளி
506,சோம்பை
507,ஆல
508,பூக்கள்
509,கண்பீளை
510,வேப்பிலை
511,இராட்சை
512,புளிச்ச
513,துவையல்
514,துளூ
515,விளாங்காய்
516,துளி
517,பற்றுப்போட்டால்
518,நெருஞ்சி
519,வதக்கு
520,இருவாட்சி
521,Song
522,சிற்றீச்சங்
523,மல்லிகை பூ
524,எருக்கம்
525,மருதம் மரப்பட்டை
526,சாரணை
527,எருமை
528,பிண்ணாக்குக்
529,அத்தி மரப்
530,தேங்காய்ப்
531,மணலி கீரை
532,இஞ்சிச்
533,ஆதொண்டை
534,சூப்பாக
535,வில்வ
536,அதனட்
537,வல்லாரை
538,முசுமுசுக்கை
539,காய்
540,பருப்புடன்
541,வல்லாரை கீரை
542,கம்
543,லவங்கம்
544,சதகுப்பை
545,கோளாறு
546,உளுந்தை
547,மரகு
548,ஆகியவற்றோடு
549,தேற்றான்கொட்டை
550,தண்டை
551,மர இலை
552,பயறை
553,வேரை
554,வல்லார்
555,வெண்தாமரை
556,மஞ்சள்
557,அவுரி இலை
558,கொத்தமல்லியோடு
559,அந்திமல்லி
560,காட்டு
561,தாமரைவி
562,கறுப்பு
563,புதினாச்
564,நுனி
565,அம்மான்பச்சரி
566,வெள்ளரிவி
567,துயிலி கீரை
568,தென்னை
569,உளுந்து
570,புண்கள்
571,பாலேடு
