,0,1,2,3,4,5,6,7,8,9,10
ஆவாரை,,,,,,,,,,,
வேளை கீரை,தூதுவளை கீரை,முளை கீரை,கீரை கீரை,பசலை கீரை,அரை கீரை,வேர் கீரை,,,,,
பாற்சொரிக் கீரை,பாற்சொரிக்,,,,,,,,,,
வெங்காயம்,தேங்காய்,மாங்காய்,விளாங்காய்,விளங்கம்,லவங்கம்,வெந்தயம்,,,,,
கீழாநெல்லி இலை,,,,,,,,,,,
நெல்லிக்காய் விதை,நெல்லிக்காய்,நெல்லிக்காய் பொடி,,,,,,,,,
சாற்றுடன்,,,,,,,,,,,
துத்து,பழுத்த,பழத்து,துண்டு,,,,,,,,
இம்பூறல்,,,,,,,,,,,
பசை,பனை,சதை,சடை,பசு,பசலை,,,,,,
ஆடாதொடை,ஆடாதொடா,ஆதொண்டை,,,,,,,,,
வாழைத்தண்டை,,,,,,,,,,,
தேங்காய்,தேங்காய்ப்,வெங்காயம்,தேங்காய்த்,,,,,,,,
வேப்பம் பூ,வேப்பம்,வேப்பம் இலை,,,,,,,,,
நிலம்,நிறம்,,,,,,,,,,
இருமல்,அருகம்,மருதம்,இரேவல்,,,,,,,,
தளிரை,,,,,,,,,,,
அத்திப்,அகத்தி பூ,அத்தி,அத்தி மரப்,,,,,,,,
தனமும்,தினம்,துவரம்,மருதம்,,,,,,,,
பூக்களை,,,,,,,,,,,
துவரம் பருப்பு,பாதாம் பருப்பு,வற்றல் பருப்பு,பருப்பு பருப்பு,நாவல் பருப்பு,அக்ரூட் பருப்பு,வெள்ளரி பருப்பு,,,,,
வெந்தயம்,வெங்காயம்,வெந்தயக்,,,,,,,,,
துவிசி,துளசசி,துளசி,துவிர்,,,,,,,,
மரப் மரப்,மகிழ மரப்,மரப்பட்டை,,,,,,,,,
முருங்கை,,,,,,,,,,,
துத்தி கீரை,துத்தி இலை,உளுந்து கீரை,துயிலி கீரை,,,,,,,,
எண்ணெய்,,,,,,,,,,,
கூந்தலை,,,,,,,,,,,
முசுமுசுக்கை கீரை,,,,,,,,,,,
பனைவெல்லம்,,,,,,,,,,,
கறி,கரி,,,,,,,,,,
அசோகம்,அருகம்,சோம்பு,அகம்து,சோம்பை,அகம்தி,சீரகம்,,,,,
துவரம்,துவர்,புரசம்,தனமும்,துவிர்,,,,,,,
வில்வ மரப்,வில்வம்,வில்வ பழம்,,,,,,,,,
விளா,,,,,,,,,,,
அகம்து,அசோகம்,அருகம்,அகத்தி,ஓமம்து,அகம்தி,,,,,,
ஆகியவற்றை,ஆகியவற்றைப்,,,,,,,,,,
துண்டு,தண்டை,புண்கு,பூண்டு,துண்டை,உதட்டு,துத்து,இரண்டு,தொண்டை,,,
நிலவேம்பு,,,,,,,,,,,
மில்லி,அல்லி,மலச்சி,நெல்லி,,,,,,,,
கஸ்தூரி,,,,,,,,,,,
பாகு,பழகு,,,,,,,,,,
கர்ப்பிணி,,,,,,,,,,,
வெள்ளரி விதை,,,,,,,,,,,
காய்ச்சிக்,,,,,,,,,,,
வழுக்கை,வழுக்கு,,,,,,,,,,
சுக்காங் கீரை,,,,,,,,,,,
செடி கீரை,பசலை கீரை,மணலி கீரை,,,,,,,,,
வாதநாராயணன்,வாதநாராயணன் கீரை,,,,,,,,,,
கீரைத்து,வேகவைத்து,,,,,,,,,,
அன்னாூப் பழம்,,,,,,,,,,,
மஞ்சள் கீரை,,,,,,,,,,,
கீரையை,,,,,,,,,,,
வாழைப்பா,வாழைக்கா,,,,,,,,,,
வெள்ளை,கள்ளை,வெள்ளரி,எள்ளை,,,,,,,,
நெல்லி,நெற்றி,மில்லி,நெல்,அல்லி,நெல்லிக்,,,,,,
ஆகாயத்தாமரை,,,,,,,,,,,
பல்,பற்,புல்,பால்,,,,,,,,
செவ்விளம்,,,,,,,,,,,
உப்பு,பாம்பு,௨ப்பு,குப்பு,,,,,,,,
மாதுளை,துளிரை,மாதுளம்,முளை,,,,,,,,
அருகம்பு,,,,,,,,,,,
வேர்,வேரை,அவர்,,,,,,,,,
துளசி,துளி,துளசசி,துளச்,துவிசி,,,,,,,
ஆவாரம்பூ,ஆவாரம் பூ,,,,,,,,,,
மிளகாய்,மிளகாயை,மிளகாய்ச்,,,,,,,,,
வெள்ளரி,வெள்ளை,,,,,,,,,,
எள்ளுக்கா,,,,,,,,,,,
ஓமத்தை,வத்தலை,ஓமம்து,,,,,,,,,
இஞ்சி,கஞ்சி,இஞ்சிச்,இஞ்சம்,,,,,,,,
நுங்கு,பறங்கு,பங்கு,சுக்கு,புண்கு,,,,,,,
முளை கீரை,வேளை கீரை,தூதுவளை கீரை,முளைக்கீரை,மணலி கீரை,கீரை கீரை,பசலை கீரை,அரை கீரை,,,,
பரட்டை,மொட்டை,பட்டை,முட்டை,கட்டை,பிரண்டை,கொட்டை,பாவட்டை,,,,
மாசிக்காய்,மாங்காய்,கழற்சிக்காய்,தான்றிக்காய்,பாகற்காய்,,,,,,,
பூண்டு,புண்கு,துண்டு,தண்டு,இரண்டு,,,,,,,
வாதநாராயணன் கீரை,வாதநாராயணன்,,,,,,,,,,
மண்,கம்,மணி,மஞ்,,,,,,,,
கைப்பிடி,,,,,,,,,,,
பசலை,பசை,,,,,,,,,,
மாவிலங்கம்,வாய்விளங்கம்,விளங்கம்,,,,,,,,,
உளுந்து கீரை,,,,,,,,,,,
பூச்சி,குச்சி,பச்சடி,பூசணி,பச்சை,பச்சிலை,மலச்சி,,,,,
இலுப்பை மரப்,இலந்தை மரப்,,,,,,,,,,
அருகம்,இருமல்,அசோகம்,அகம்து,மருதம்,அருகம்பு,சரகம்,அகம்தி,சீரகம்,,,
சின்னிக்,வன்னிக்,,,,,,,,,,
நிலாவரை இலை,,,,,,,,,,,
வாழைத்தண்டு,,,,,,,,,,,
கறிவேப்பு,கறுப்பு,வேப்பு,நிலவேம்பு,சிவப்பு,,,,,,,
மருதம்பட்டை,மருதம் பட்டை,மரப்பட்டை,,,,,,,,,
நாவல் மரப்,வில்வ மரப்,நாவல் பருப்பு,,,,,,,,,
நசுக்கி,சுக்கு,கசக்கி,,,,,,,,,
பறங்கு,புண்கு,நுங்கு,பங்கு,பாக்கு,,,,,,,
மலை,மாலை,,,,,,,,,,
நெய்,நெல்,நொய்,நாய்,,,,,,,,
முள்ளிக்கீரை,முள்ளங்கி கீரை,முளைக்கீரை,முடக்கம் கீரை,மஞ்சள் கீரை,முள்ளங்கிக்கீர்,,,,,,
நசித்து,,,,,,,,,,,
வாழைக்கா,,,,,,,,,,,
பகுதி,,,,,,,,,,,
எலுமிச்சம் பழம்,,,,,,,,,,,
ஆகாயத்தாமரை இலை,,,,,,,,,,,
பாயில்,வயில்,பாயசம்,பாகல்,பாசிப்,பால்,,,,,,
அருநெல்லிக்கா,நெல்லிக்கனி,நெல்லிக்காய்,,,,,,,,,
முளை,மூளை,முள்,மாதுளை,,,,,,,,
கருமை,கோதுமை,,,,,,,,,,
ஒடு,,,,,,,,,,,
அக்ரகாரம்,,,,,,,,,,,
கீரை,கீரையை,,,,,,,,,,
வற்று,வயிற்று,வற்றல்,வற்றலை,,,,,,,,
மருதம் பட்டை,மருதம்பட்டை,முருங்கை பட்டை,மரப்பட்டை,,,,,,,,
அகம்தி,கம்பளி,அசோகம்,அருகம்,அகத்தி,அத்தி,அகம்து,,,,,
குடல்,,,,,,,,,,,
முள்ளங்கி கீரை,முள்ளிக்கீரை,முள்ளங்கிக்கீர்,,,,,,,,,
பாகற்காய்,கடுக்காய்,மாங்காய்,மாசிக்காய்,ஜாதிக்காய்,பாகற்கா,,,,,,
கம்பளி,அகம்தி,,,,,,,,,,
வெற்றிலையோடு,,,,,,,,,,,
கள்ளை,வெள்ளை,கொள்ளு,எள்ளை,,,,,,,,
நாரத்தங்கா,,,,,,,,,,,
அல்லிப்பூ,,,,,,,,,,,
சாப்பிட்,,,,,,,,,,,
இருவாட்சி இலை,,,,,,,,,,,
மணலி,,,,,,,,,,,
காய்ச்சி,காய்ச்சிக்,,,,,,,,,,
பிஞ்சை,பிஞ்சு,பச்சை,,,,,,,,,
முருங்கை பட்டை,முருங்கை கீரை,மருதம் பட்டை,,,,,,,,,
துளசசி,துவிசி,துளசி,குச்சி,துளி,துளச்,,,,,,
பழம்,,,,,,,,,,,
சளி,,,,,,,,,,,
பருப்பையும்,,,,,,,,,,,
அரை கீரை,வேளை கீரை,முளை கீரை,கீரை கீரை,பசலை கீரை,வேர் கீரை,,,,,,
தப்பிலி,திப்பிலி,,,,,,,,,,
வேகவைத்து,,,,,,,,,,,
அன்னாூப்,,,,,,,,,,,
முருங்கைக்கா,முருங்கை,,,,,,,,,,
மருட்டி,,,,,,,,,,,
பாதாம்,பாயசம்,,,,,,,,,,
பிசின்,சின்ன,பாசிப்,,,,,,,,,
கரி,கறி,,,,,,,,,,
ரத்தம்,நாரத்தம்,மருதம்,ரத்த,,,,,,,,
௨ப்பு,பாம்பு,உப்பு,குப்பு,,,,,,,,
துவிர்,துளிரை,துவிசி,குளிர்,துவர்,துவரம்,,,,,,
புல்,பல்,புண்,பால்,,,,,,,,
வில்வ பழம்,வில்வம்,,,,,,,,,,
வேம்பம்,,,,,,,,,,,
நாவல் பருப்பு,பாதாம் பருப்பு,விதைப்பருப்பு,வற்றல் பருப்பு,நாவல் மரப்,பாசிப் பருப்பு,வெள்ளரி பருப்பு,மாம்பருப்பு,துவரம் பருப்பு,,,
கோதுமை,,,,,,,,,,,
பாசிப் பருப்பு,பாதாம் பருப்பு,விதைப்பருப்பு,பிஸ்தா பருப்பு,நாவல் பருப்பு,,,,,,,
நாரத்தம் பழம்,மாதுளம் பழம்,,,,,,,,,,
இலந்தை இலை,,,,,,,,,,,
முள்ளங்கி,,,,,,,,,,,
பூவரசு,,,,,,,,,,,
புண்ணாக்கு,பிண்ணாக்குக்,சுண்ணாம்பு,,,,,,,,,
மாதுளம்,,,,,,,,,,,
செம்,இசம்,,,,,,,,,,
வற்றல்,வற்று,,,,,,,,,,
சதை,பசை,,,,,,,,,,
மகிழ மரப்,மரப் மரப்,மகிழம் பூ,,,,,,,,,
நாய்,காய்,நார்,நாள்,நொய்,நாய்து,வாய்,நெய்,,,,
சுக்கு,நுங்கு,வழுக்கு,புண்கு,பாக்கு,கசக்கி,வதக்கு,நசுக்கி,,,,
இலந்தை மரப்,,,,,,,,,,,
எள்ளுப்பு,,,,,,,,,,,
கொள்ளு,கள்ளை,,,,,,,,,,
மாவு இலை,அவுரி இலை,,,,,,,,,,
சிற்றீச்சம்,,,,,,,,,,,
சித்தரம்தை,சித்தரத்தை,,,,,,,,,,
உட்,,,,,,,,,,,
இலவம் விதை,,,,,,,,,,,
வெள்ளரிக்கா,,,,,,,,,,,
ஆவாரம் இலை,வல்லார் இலை,ஆவாரம் பூ,அவர் இலை,,,,,,,,
புண்கு,பறங்கு,நுங்கு,புண்கள்,பூண்டு,சுக்கு,பாக்கு,பங்கு,துண்டு,புண்,,
மாவு,,,,,,,,,,,
வெந்தயக்,வெந்தயம்,வெந்தயத்தை,,,,,,,,,
அகத்தி பூ,அகத்தி,அத்திப்,அத்தி மரப்,,,,,,,,
தான்றிக்காய்,மாசிக்காய்,கழற்சிக்காய்,நெல்லிக்காய்,தான்றிக்கா,,,,,,,
மஞ்,மண்,,,,,,,,,,
பிரண்டை,பிரச்னை,பரட்டை,,,,,,,,,
பழத்து,பழுத்த,துத்து,பழங்கு,,,,,,,,
கானாம்வாழை,,,,,,,,,,,
கிராம்புத்,கிராம்பை,,,,,,,,,,
திப்பிலி,தப்பிலி,,,,,,,,,,
வற்றல் பருப்பு,துவரம் பருப்பு,வெள்ளரி பருப்பு,நாவல் பருப்பு,,,,,,,,
அசோகம் மரப்பட்டை,அசோகம் மரப்,மருதம் மரப்பட்டை,,,,,,,,,
கீழாநெல்லி,,,,,,,,,,,
சாற்றை,சோற்றை,வற்றலை,,,,,,,,,
வாயு,,,,,,,,,,,
சாணாக்கிக்,,,,,,,,,,,
கிழங்கை,,,,,,,,,,,
விழுது,விழு,,,,,,,,,,
பனை,படை,பசை,,,,,,,,,
செம்பருத்தி பூ,செம்பருத்தி,செம்பருத்தி பருப்பு,,,,,,,,,
ரத்த,,,,,,,,,,,
வயிற்று,,,,,,,,,,,
பாகல்,பாயில்,பால்,,,,,,,,,
சித்தரத்தை,சித்தரம்தை,,,,,,,,,,
மருதம்,ரத்தம்,முகம்,இருமல்,அருகம்,தனமும்,மரம்து,,,,,
வன்னிக்,சின்னிக்,,,,,,,,,,
விழு,விழுது,,,,,,,,,,
மகிழ,,,,,,,,,,,
தாமரை பூ,,,,,,,,,,,
சோம்பு,பாம்பு,அசோகம்,சர்பு,நரம்பு,வசம்பு,சோம்பை,மாம்பு,,,,
மிளகை,மிளகாயை,மிளகு,,,,,,,,,
பழகு,புழு,பாகு,,,,,,,,,
ஆமணம் விதை,இலவம் விதை,,,,,,,,,,
சொட்டு,மொட்டை,ஆட்டு,உதட்டு,காட்டு,கொட்டை,கட்டு,,,,,
அல்லி,நெல்லி,மில்லி,,,,,,,,,
அமுக்கரா,,,,,,,,,,,
தட்டிப்போட்டு,,,,,,,,,,,
நாரம்,நரம்பு,நார்,,,,,,,,,
நன்னாரி,,,,,,,,,,,
வழுக்கு,வழுக்கை,சுக்கு,,,,,,,,,
பிஸ்தா பருப்பு,பாதாம் பருப்பு,பருப்பு பருப்பு,பாசிப் பருப்பு,,,,,,,,
காயை,காலை,காய்,,,,,,,,,
வில்வம்,வில்வ மரப்,வில்வ பழம்,மாவிலம்,வில்வ,,,,,,,
மரப்பட்டை,மருதம்பட்டை,மரப் மரப்,மருதம் பட்டை,,,,,,,,
மிளகு,மிளகை,,,,,,,,,,
நெல்லிக்கனி,நெல்லிக்,அருநெல்லிக்கா,நெல்லிக்காய்,,,,,,,,
சர்க்கீரை,செலரிக் கீரை,,,,,,,,,,
அரை,ஆரை,,,,,,,,,,
வாய்விளம்,செவ்விளம்,,,,,,,,,,
இரேவல்,,,,,,,,,,,
வேப்பம்,வேப்பம் பூ,வேம்பம்,,,,,,,,,
கிழங்கு,கிழங்கை,,,,,,,,,,
உத்தாமணி இலை,அத்தி இலை,துத்தி இலை,மருதாணி இலை,,,,,,,,
சுண்ணாம்பு,,,,,,,,,,,
விஷ்ணுக்கிரந்தி,,,,,,,,,,,
பேரீச்சம்பழம்,,,,,,,,,,,
சோறு,,,,,,,,,,,
கசக்கி,குச்சி,சுக்கு,நசுக்கி,சக்தி,,,,,,,
இதம்,இளம்,இசம்,,,,,,,,,
வேப்பம் இலை,வேப்பம் பூ,,,,,,,,,,
மணி,மணலி,,,,,,,,,,
பாயசம்,பாதாம்,புரசம்,பாயில்,பாம்பு,கஷாயம்,பாசிப்,,,,,
எரு,,,,,,,,,,,
வில்வ இலை,அவுரி இலை,அவர் இலை,,,,,,,,,
புளியம்,,,,,,,,,,,
விஷ்ணுக்கிராந்தி,,,,,,,,,,,
நிலாவரை,,,,,,,,,,,
பொன்னாங்கண்ணி,பொன்னாங்கண்ணிக் கீரை,,,,,,,,,,
வெண்,,,,,,,,,,,
மாம்பு,பாம்பு,நரம்பு,சோம்பு,ஓமம்து,வசம்பு,மாம் பூ,மரம்து,,,,
தண்ணீரை,,,,,,,,,,,
