,0,1,2,3,4,5,6,7,8,9,10
புழு,,,,,,,,,,,
வேர் கீரை,வேளை கீரை,அரை கீரை,கீரை கீரை,சர்க்கீரை,,,,,,,
நாவல் பூ,நாவல் மரப்,,,,,,,,,,
செலரிக் கீரை,பாற்சொரிக் கீரை,சர்க்கீரை,செடி கீரை,,,,,,,,
கால்,காய்,வால்,காலை,கடல்,பால்,,,,,,
தேங்காய்த்,தேங்காய்,,,,,,,,,,
சித்தரம்,சித்தரத்தை,,,,,,,,,,
திராட்சை,,,,,,,,,,,
பாலை,பசலை,காலை,பால்,,,,,,,,
கஷாயம்,கராம்,காய்,பாயசம்,,,,,,,,
பூவரசு மரப்,,,,,,,,,,,
பாக்கு,பறங்கு,புண்கு,பாம்பு,பாகு,சுக்கு,பங்கு,பாகல்,வதக்கு,பாகற்கா,,
எலும்பு,,,,,,,,,,,
ஆமணம் இலை,ஆவாரம் இலை,ஆமணம் விதை,,,,,,,,,
ஆளி விதை,,,,,,,,,,,
தான்றிக்கா,,,,,,,,,,,
பயிறு,,,,,,,,,,,
அவர் இலை,அத்தி இலை,ஆவாரம் இலை,அவுரி இலை,வில்வ இலை,,,,,,,
கருஞ்சீரகம்,,,,,,,,,,,
வெந்தயத்தை,வெந்தயம்,வெந்தயக்,,,,,,,,,
தேன்,,,,,,,,,,,
வாழைப்பூ,,,,,,,,,,,
விதை விதை,,,,,,,,,,,
நீலம்,,,,,,,,,,,
கழற்சிக்காய்,மாசிக்காய்,தான்றிக்காய்,நெல்லிக்காய்,,,,,,,,
நச்சுக்கொட்டை,,,,,,,,,,,
குங்குமப்,,,,,,,,,,,
சின்ன,,,,,,,,,,,
மார்பகம்,,,,,,,,,,,
கொடிப்பசலை,,,,,,,,,,,
செம்பருத்திப்பூ்,செம்பருத்தி,செம்பருத்தி பூ,,,,,,,,,
பூண்டு கீரை,தண்டு கீரை,பிரண்டை கீரை,,,,,,,,,
பச்சிலை,பூச்சி,பச்சை,,,,,,,,,
நெல்லிக்,நெல்லி,அல்லிக்,நெல்லிக்கா,நெல்லிக்கனி,நெல்லிக்காய்,,,,,,
அன்னாசிப்,அன்னாூப்,,,,,,,,,,
ஆடையொட்டி இலை,,,,,,,,,,,
சு,,,,,,,,,,,
கூழை,,,,,,,,,,,
டம்ளர்,,,,,,,,,,,
எலுமிச்சை,எலுமிச்சம்,எலுமிச்சை இலை,,,,,,,,,
கொத்தமல்லி,கொத்தமல்லியோடு,அந்திமல்லி,,,,,,,,,
வெண்ணெ,வெண்,,,,,,,,,,
ஏலரிசி,,,,,,,,,,,
ஆடாதொடசம்,ஆடாதொடை,,,,,,,,,,
செம்பு,செம்,சர்பு,நரம்பு,சோம்பு,வசம்பு,சோம்பை,மாம்பு,,,,
மாம்பழம்,மாதுளம் பழம்,,,,,,,,,,
ஆவாரம்,ஆவாரை,துவரம்,ஆவாரம்பூ,விளாம்,நாரம்,,,,,,
மாலை,மாவை,காலை,மலை,,,,,,,,
துத்தி,அகத்தி,அத்தி,பழுத்த,துத்து,பருத்தி,,,,,,
